Ref,Val,Package,PosX,PosY,Rot,Side
"U5","MCP1501-10E/SN","SOIC-8_3.9x4.9mm_P1.27mm",153.670000,-46.228000,0.000000,bottom
"U8","AD5242","TSSOP-16_4.4x5mm_P0.65mm",70.358000,-48.260000,0.000000,bottom
"U9","AD5242","TSSOP-16_4.4x5mm_P0.65mm",191.770000,-47.752000,0.000000,bottom
"U12","AD5242","TSSOP-16_4.4x5mm_P0.65mm",89.662000,-48.514000,0.000000,bottom
"U13","AD5242","TSSOP-16_4.4x5mm_P0.65mm",213.360000,-47.752000,0.000000,bottom
"U18","AD5254 - 50K","TSSOP-20_4.4x6.5mm_P0.65mm",80.518000,-80.518000,0.000000,bottom
"U19","AD5254 - 50K","TSSOP-20_4.4x6.5mm_P0.65mm",209.296000,-80.518000,0.000000,bottom
